,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Storage,bathrooms_bedrooms_avg,price_category
5278,1,1155,840,Colorado Springs,CO,38.7918,-104.8265,RentDigs.com,1,0,1,0,0,1,1,0,1,1,1,0,1.5,Medio
3000,0,1095,679,Bakersfield,CA,35.3753,-119.0319,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
478,1,925,410,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
1352,1,1700,550,Seattle,WA,47.616,-122.3275,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
7688,1,1450,1186,Altoona,IA,41.6475,-93.4713,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Medio
7861,1,1349,1214,Porter,TX,30.1049,-95.2583,RentLingo,0,0,1,0,1,0,0,0,1,0,1,0,2.5,Medio
2647,0,900,654,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,1,0,0,1.0,Bajo
7415,1,694,1125,Saint Joseph,MO,39.76,-94.8272,Other,0,1,0,0,1,1,0,0,1,1,1,0,2.5,Bajo
4174,0,800,750,Portsmouth,VA,36.81,-76.3669,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,0,1.5,Bajo
4328,0,1050,760,Champaign,IL,40.1145,-88.2723,RentLingo,0,0,1,0,0,0,0,0,1,0,0,0,2.0,Medio
7789,0,1260,1200,Cleveland,OH,41.4983,-81.6437,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,0,2.0,Medio
1033,1,1239,510,Orlando,FL,28.5163,-81.3644,RentLingo,0,0,0,0,0,0,0,0,1,1,1,0,1.0,Medio
3813,1,1375,728,Keene,NH,42.9367,-72.2863,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Medio
4224,1,779,751,Overland Park,KS,38.9259,-94.6916,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
2598,1,585,650,Tulsa,OK,36.116,-95.9281,RentLingo,0,0,1,0,0,0,0,1,0,0,1,0,1.0,Bajo
5994,0,1949,911,Seattle,WA,47.616,-122.3275,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
7238,0,1325,1100,Fall River,MA,41.6977,-71.1501,RentDigs.com,1,1,1,0,0,1,1,1,1,1,1,0,1.5,Medio
9127,1,1899,2508,Columbia,SC,34.0505,-81.0098,RentLingo,0,0,0,0,0,0,0,0,0,0,1,0,3.5,Alto
3209,1,736,695,Pierre,SD,44.4469,-100.1875,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Bajo
4814,0,1365,800,Minneapolis,MN,44.9855,-93.3023,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
